Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 2nd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 5-6-7,Bottom of the 2nd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 5-6-7,Bottom of the 2nd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 5-6-7,Bottom of the 2nd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 5-6-7,Bottom of the 2nd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 5-6-7,Bottom of the 2nd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 5-6-7,Bottom of the 2nd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 5-6-7,Bottom of the 2nd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 5-6-7,Bottom of the 2nd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 5-6-7,Bottom of the 2nd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 5-6-7,Bottom of the 2nd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 5-6-7,Bottom of the 2nd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 5-6-7
b2,0-0,0,---,1(0-0) X,O,PIT,Gregory Polanco,Jeff Samardzija,2%,47%,Flyball: LF (Deep LF-CF)
b2,0-0,1,---,7(1-2) CCFBFFX,O,PIT,Jordy Mercer,Jeff Samardzija,2%,49%,Groundout: 1B-P (2B-1B)
b2,0-0,2,---,7(3-2) CBBCFBX,,PIT,Max Moroff,Jeff Samardzija,-1%,48%,Single to RF (Line Drive)
b2,0-0,2,1--,4(1-2) BCFC,O,PIT,Chris Stewart,Jeff Samardzija,2%,50%,Strikeout Looking
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Giants 0 Pirates 0.,0 runs 1 hit 0 errors 1 LOB. Giants 0 Pirates 0.,0 runs 1 hit 0 errors 1 LOB. Giants 0 Pirates 0.
Top of the 3rd Giants Batting Tied 0-0 Pirates' Trevor Williams facing 8-9-1,Top of the 3rd Giants Batting Tied 0-0 Pirates' Trevor Williams facing 8-9-1,Top of the 3rd Giants Batting Tied 0-0 Pirates' Trevor Williams facing 8-9-1,Top of the 3rd Giants Batting Tied 0-0 Pirates' Trevor Williams facing 8-9-1,Top of the 3rd Giants Batting Tied 0-0 Pirates' Trevor Williams facing 8-9-1,Top of the 3rd Giants Batting Tied 0-0 Pirates' Trevor Williams facing 8-9-1,Top of the 3rd Giants Batting Tied 0-0 Pirates' Trevor Williams facing 8-9-1,Top of the 3rd Giants Batting Tied 0-0 Pirates' Trevor Williams facing 8-9-1,Top of the 3rd Giants Batting Tied 0-0 Pirates' Trevor Williams facing 8-9-1,Top of the 3rd Giants Batting Tied 0-0 Pirates' Trevor Williams facing 8-9-1,Top of the 3rd Giants Batting Tied 0-0 Pirates' Trevor Williams facing 8-9-1,Top of the 3rd Giants Batting Tied 0-0 Pirates' Trevor Williams facing 8-9-1
t3,0-0,0,---,7(2-2) CBFFBFX,O,SFG,Austin Slater,Trevor Williams,-3%,47%,Groundout: SS-1B (Weak SS)
t3,0-0,1,---,2(0-1) CX,O,SFG,Jeff Samardzija,Trevor Williams,-2%,46%,Groundout: SS-1B
t3,0-0,2,---,5(2-2) CBTBX,O,SFG,Denard Span,Trevor Williams,-1%,44%,Groundout: 1B unassisted
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 0.,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 0.,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 0.
Bottom of the 3rd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 3rd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 3rd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 3rd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 3rd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 3rd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 3rd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 3rd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 3rd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 3rd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 3rd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 3rd Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 9-1-2
