Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 8th Giants Batting Ahead 3-2 Pirates' Edgar Santana facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Pirates' Edgar Santana facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Pirates' Edgar Santana facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Pirates' Edgar Santana facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Pirates' Edgar Santana facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Pirates' Edgar Santana facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Pirates' Edgar Santana facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Pirates' Edgar Santana facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Pirates' Edgar Santana facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Pirates' Edgar Santana facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Pirates' Edgar Santana facing 2-3-4,Top of the 8th Giants Batting Ahead 3-2 Pirates' Edgar Santana facing 2-3-4
,,,,,,,,,Edgar Santana replaces David Freese (PH) pitching and batting 9th,Edgar Santana replaces David Freese (PH) pitching and batting 9th,Edgar Santana replaces David Freese (PH) pitching and batting 9th
t8,3-2,0,---,5(2-2) .CBBFX,,SFG,Joe Panik,Edgar Santana,6%,81%,Double to RF (Line Drive to Deep RF)
t8,3-2,0,-2-,5(2-2) B*BSSS,O,SFG,Hunter Pence,Edgar Santana,-4%,77%,Strikeout Swinging
t8,3-2,1,-2-,3(0-2) CCC,O,SFG,Buster Posey,Edgar Santana,-4%,73%,Strikeout Looking
t8,3-2,2,-2-,5(3-1) BSBBX,RR,SFG,Brandon Belt,Edgar Santana,19%,92%,Home Run (Fly Ball to Deep RF Line); Panik Scores
,,,,,,,,,Antonio Bastardo replaces Edgar Santana pitching and batting 9th,Antonio Bastardo replaces Edgar Santana pitching and batting 9th,Antonio Bastardo replaces Edgar Santana pitching and batting 9th
t8,5-2,2,---,3(1-1) .SBX,O,SFG,Brandon Crawford,Antonio Bastardo,-0%,91%,Flyball: CF
,,,,,,,,,2 runs 2 hits 0 errors 0 LOB. Giants 5 Pirates 2.,2 runs 2 hits 0 errors 0 LOB. Giants 5 Pirates 2.,2 runs 2 hits 0 errors 0 LOB. Giants 5 Pirates 2.
Bottom of the 8th Pirates Batting Behind 2-5 Giants' Cory Gearrin facing 1-2-3,Bottom of the 8th Pirates Batting Behind 2-5 Giants' Cory Gearrin facing 1-2-3,Bottom of the 8th Pirates Batting Behind 2-5 Giants' Cory Gearrin facing 1-2-3,Bottom of the 8th Pirates Batting Behind 2-5 Giants' Cory Gearrin facing 1-2-3,Bottom of the 8th Pirates Batting Behind 2-5 Giants' Cory Gearrin facing 1-2-3,Bottom of the 8th Pirates Batting Behind 2-5 Giants' Cory Gearrin facing 1-2-3,Bottom of the 8th Pirates Batting Behind 2-5 Giants' Cory Gearrin facing 1-2-3,Bottom of the 8th Pirates Batting Behind 2-5 Giants' Cory Gearrin facing 1-2-3,Bottom of the 8th Pirates Batting Behind 2-5 Giants' Cory Gearrin facing 1-2-3,Bottom of the 8th Pirates Batting Behind 2-5 Giants' Cory Gearrin facing 1-2-3,Bottom of the 8th Pirates Batting Behind 2-5 Giants' Cory Gearrin facing 1-2-3,Bottom of the 8th Pirates Batting Behind 2-5 Giants' Cory Gearrin facing 1-2-3
b8,2-5,0,---,2(0-1) FX,O,PIT,Adam Frazier,Cory Gearrin,3%,94%,Lineout: LF (Short LF-CF)
b8,2-5,1,---,3(0-2) CTS,O,PIT,Jose Osuna,Cory Gearrin,2%,96%,Strikeout Swinging
,,,,,,,,,Steven Okert replaces Cory Gearrin pitching and batting 9th,Steven Okert replaces Cory Gearrin pitching and batting 9th,Steven Okert replaces Cory Gearrin pitching and batting 9th
b8,2-5,2,---,5(1-2) .CBFFX,R,PIT,John Jaso,Steven Okert,-5%,91%,Home Run (Fly Ball to Deep RF)
b8,3-5,2,---,3(1-1) BSX,O,PIT,Josh Bell,Steven Okert,2%,92%,Popfly: 1B (Deep 1B)
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Giants 5 Pirates 3.,1 run 1 hit 0 errors 0 LOB. Giants 5 Pirates 3.,1 run 1 hit 0 errors 0 LOB. Giants 5 Pirates 3.
Top of the 9th Giants Batting Ahead 5-3 Pirates' Antonio Bastardo facing 7-8-9,Top of the 9th Giants Batting Ahead 5-3 Pirates' Antonio Bastardo facing 7-8-9,Top of the 9th Giants Batting Ahead 5-3 Pirates' Antonio Bastardo facing 7-8-9,Top of the 9th Giants Batting Ahead 5-3 Pirates' Antonio Bastardo facing 7-8-9,Top of the 9th Giants Batting Ahead 5-3 Pirates' Antonio Bastardo facing 7-8-9,Top of the 9th Giants Batting Ahead 5-3 Pirates' Antonio Bastardo facing 7-8-9,Top of the 9th Giants Batting Ahead 5-3 Pirates' Antonio Bastardo facing 7-8-9,Top of the 9th Giants Batting Ahead 5-3 Pirates' Antonio Bastardo facing 7-8-9,Top of the 9th Giants Batting Ahead 5-3 Pirates' Antonio Bastardo facing 7-8-9,Top of the 9th Giants Batting Ahead 5-3 Pirates' Antonio Bastardo facing 7-8-9,Top of the 9th Giants Batting Ahead 5-3 Pirates' Antonio Bastardo facing 7-8-9,Top of the 9th Giants Batting Ahead 5-3 Pirates' Antonio Bastardo facing 7-8-9
t9,5-3,0,---,5(2-2) BBFFC,O,SFG,Jae-gyun Hwang,Antonio Bastardo,-1%,92%,Strikeout Looking
t9,5-3,1,---,4(2-1) BFBX,O,SFG,Austin Slater,Antonio Bastardo,-1%,91%,Foul Flyball: RF (RF Foul)
,,,,,,,,,Gorkys Hernandez pinch hits for Steven Okert (P) batting 9th,Gorkys Hernandez pinch hits for Steven Okert (P) batting 9th,Gorkys Hernandez pinch hits for Steven Okert (P) batting 9th
t9,5-3,2,---,5(2-2) .SBFBS,O,SFG,Gorkys Hernandez,Antonio Bastardo,-0%,91%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 5 Pirates 3.,0 runs 0 hits 0 errors 0 LOB. Giants 5 Pirates 3.,0 runs 0 hits 0 errors 0 LOB. Giants 5 Pirates 3.
Bottom of the 9th Pirates Batting Behind 3-5 Giants' Sam Dyson facing 5-6-7,Bottom of the 9th Pirates Batting Behind 3-5 Giants' Sam Dyson facing 5-6-7,Bottom of the 9th Pirates Batting Behind 3-5 Giants' Sam Dyson facing 5-6-7,Bottom of the 9th Pirates Batting Behind 3-5 Giants' Sam Dyson facing 5-6-7,Bottom of the 9th Pirates Batting Behind 3-5 Giants' Sam Dyson facing 5-6-7,Bottom of the 9th Pirates Batting Behind 3-5 Giants' Sam Dyson facing 5-6-7,Bottom of the 9th Pirates Batting Behind 3-5 Giants' Sam Dyson facing 5-6-7,Bottom of the 9th Pirates Batting Behind 3-5 Giants' Sam Dyson facing 5-6-7,Bottom of the 9th Pirates Batting Behind 3-5 Giants' Sam Dyson facing 5-6-7,Bottom of the 9th Pirates Batting Behind 3-5 Giants' Sam Dyson facing 5-6-7,Bottom of the 9th Pirates Batting Behind 3-5 Giants' Sam Dyson facing 5-6-7,Bottom of the 9th Pirates Batting Behind 3-5 Giants' Sam Dyson facing 5-6-7
,,,,,,,,,Sam Dyson replaces Austin Slater (LF) pitching and batting 8thGorkys Hernandez moves from PH to LF,Sam Dyson replaces Austin Slater (LF) pitching and batting 8thGorkys Hernandez moves from PH to LF,Sam Dyson replaces Austin Slater (LF) pitching and batting 8thGorkys Hernandez moves from PH to LF
b9,3-5,0,---,5(3-1) ..BCBBX,O,PIT,Gregory Polanco,Sam Dyson,5%,95%,Groundout: P-1B (Front of Home)
b9,3-5,1,---,5(1-2) CFFBX,O,PIT,Jordy Mercer,Sam Dyson,3%,98%,Groundout: P-1B
,,,,,,,,,Josh Harrison pinch hits for Max Moroff (3B) batting 7th,Josh Harrison pinch hits for Max Moroff (3B) batting 7th,Josh Harrison pinch hits for Max Moroff (3B) batting 7th
b9,3-5,2,---,3(0-2) .CCS,O,PIT,Josh Harrison,Sam Dyson,2%,100%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 5 Pirates 3.,0 runs 0 hits 0 errors 0 LOB. Giants 5 Pirates 3.,0 runs 0 hits 0 errors 0 LOB. Giants 5 Pirates 3.
