Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 2nd Royals Batting Behind 0-2 Giants' Tim Hudson facing 5-6-7,Bottom of the 2nd Royals Batting Behind 0-2 Giants' Tim Hudson facing 5-6-7,Bottom of the 2nd Royals Batting Behind 0-2 Giants' Tim Hudson facing 5-6-7,Bottom of the 2nd Royals Batting Behind 0-2 Giants' Tim Hudson facing 5-6-7,Bottom of the 2nd Royals Batting Behind 0-2 Giants' Tim Hudson facing 5-6-7,Bottom of the 2nd Royals Batting Behind 0-2 Giants' Tim Hudson facing 5-6-7,Bottom of the 2nd Royals Batting Behind 0-2 Giants' Tim Hudson facing 5-6-7,Bottom of the 2nd Royals Batting Behind 0-2 Giants' Tim Hudson facing 5-6-7,Bottom of the 2nd Royals Batting Behind 0-2 Giants' Tim Hudson facing 5-6-7,Bottom of the 2nd Royals Batting Behind 0-2 Giants' Tim Hudson facing 5-6-7,Bottom of the 2nd Royals Batting Behind 0-2 Giants' Tim Hudson facing 5-6-7,Bottom of the 2nd Royals Batting Behind 0-2 Giants' Tim Hudson facing 5-6-7
b2,0-2,0,---,2(0-1) CX,,KCR,Billy Butler,Tim Hudson,-4%,63%,Single to CF (Ground Ball)
b2,0-2,0,1--,1(0-0) X,R,KCR,Alex Gordon,Tim Hudson,-13%,49%,Double to RF (Line Drive); Butler Scores
b2,1-2,0,-2-,1(0-0) H,,KCR,Salvador Perez,Tim Hudson,-4%,46%,Hit By Pitch
b2,1-2,0,12-,2(1-0) *BX,O,KCR,Mike Moustakas,Tim Hudson,3%,49%,Flyball: LF; Gordon to 3B
b2,1-2,1,1-3,2(0-1) CX,RO,KCR,Omar Infante,Tim Hudson,-1%,48%,Lineout: CF/Sacrifice Fly; Gordon Scores
b2,2-2,2,1--,1(0-0) X,,KCR,Alcides Escobar,Tim Hudson,-2%,46%,Single to LF (Ground Ball); Perez to 2B
,,,,,,,,,Jeremy Affeldt replaces Tim Hudson pitching,Jeremy Affeldt replaces Tim Hudson pitching,Jeremy Affeldt replaces Tim Hudson pitching
b2,2-2,2,12-,2(1-0) .BX,O,KCR,Norichika Aoki,Jeremy Affeldt,4%,50%,Groundout: SS unassisted/Forceout at 2B
,,,,,,,,,2 runs 3 hits 0 errors 2 LOB. Giants 2 Royals 2.,2 runs 3 hits 0 errors 2 LOB. Giants 2 Royals 2.,2 runs 3 hits 0 errors 2 LOB. Giants 2 Royals 2.
