Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t8,3-2,2,-2-,2(0-1) SX,O,SFG,Hunter Pence,Wade Davis,-4%,70%,Groundout: 2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Giants 3 Royals 2.,0 runs 1 hit 0 errors 1 LOB. Giants 3 Royals 2.,0 runs 1 hit 0 errors 1 LOB. Giants 3 Royals 2.
Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3,Bottom of the 8th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 1-2-3
b8,2-3,0,---,5(2-2) BFFBS,O,KCR,Alcides Escobar,Madison Bumgarner,6%,77%,Strikeout Swinging
b8,2-3,1,---,4(1-2) BCFX,O,KCR,Norichika Aoki,Madison Bumgarner,4%,81%,Groundout: SS-1B
b8,2-3,2,---,7(2-2) BSCFFBX,O,KCR,Lorenzo Cain,Madison Bumgarner,3%,84%,Popfly: 2B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.
Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8,Top of the 9th Giants Batting Ahead 3-2 Royals' Greg Holland facing 6-7-8
,,,,,,,,,Greg Holland replaces Wade Davis pitching,Greg Holland replaces Wade Davis pitching,Greg Holland replaces Wade Davis pitching
t9,3-2,0,---,3(1-1) .SBX,O,SFG,Brandon Belt,Greg Holland,-2%,83%,Groundout: 2B-1B
t9,3-2,1,---,4(1-2) SSBS,O,SFG,Mike Morse,Greg Holland,-1%,81%,Strikeout Swinging
t9,3-2,2,---,6(3-2) BBSFBS,O,SFG,Brandon Crawford,Greg Holland,-1%,81%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.
Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6,Bottom of the 9th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 4-5-6
b9,2-3,0,---,5(2-2) BBCFS,O,KCR,Eric Hosmer,Madison Bumgarner,9%,89%,Strikeout Swinging
b9,2-3,1,---,3(1-1) BCX,O,KCR,Billy Butler,Madison Bumgarner,6%,96%,Foul Popfly: 1B (1B Foul)
b9,2-3,2,---,2(0-1) FX,,KCR,Alex Gordon,Madison Bumgarner,-11%,84%,Single to LF (Line Drive); Gordon to 3B/Adv on E8
b9,2-3,2,--3,6(2-2) SBSBFX,O,KCR,Salvador Perez,Madison Bumgarner,16%,100%,Foul Popfly: 3B (3B Foul)
,,,,,,,,,0 runs 1 hit 1 error 1 LOB. Giants 3 Royals 2.,0 runs 1 hit 1 error 1 LOB. Giants 3 Royals 2.,0 runs 1 hit 1 error 1 LOB. Giants 3 Royals 2.
